day_name,hour,nombre_trajets
Dimanche,0,17427
Dimanche,1,13655
Dimanche,2,10351
Dimanche,3,6322
Dimanche,4,3060
Dimanche,5,1360
Dimanche,6,2158
Dimanche,7,3728
Dimanche,8,6042
Dimanche,9,9622
Dimanche,10,14083
Dimanche,11,17279
Dimanche,12,19502
Dimanche,13,20353
Dimanche,14,20556
Dimanche,15,20140
Dimanche,16,20347
Dimanche,17,19771
Dimanche,18,18696
Dimanche,19,15420
Dimanche,20,14060
Dimanche,21,13297
Dimanche,22,10825
Dimanche,23,7963
Jeudi,0,5201
Jeudi,1,2400
Jeudi,2,1336
Jeudi,3,935
Jeudi,4,910
Jeudi,5,2190
Jeudi,6,5760
Jeudi,7,12557
Jeudi,8,17954
Jeudi,9,19020
Jeudi,10,19019
Jeudi,11,19503
Jeudi,12,20797
Jeudi,13,21300
Jeudi,14,23392
Jeudi,15,25251
Jeudi,16,25406
Jeudi,17,29047
Jeudi,18,31349
Jeudi,19,27057
Jeudi,20,24477
Jeudi,21,25333
Jeudi,22,22016
Jeudi,23,14919
Lundi,0,10263
Lundi,1,7730
Lundi,2,6515
Lundi,3,4611
Lundi,4,2865
Lundi,5,2934
Lundi,6,5842
Lundi,7,11114
Lundi,8,15330
Lundi,9,16844
Lundi,10,17803
Lundi,11,19134
Lundi,12,21067
Lundi,13,22300
Lundi,14,24586
Lundi,15,25008
Lundi,16,24896
Lundi,17,26227
Lundi,18,26476
Lundi,19,22171
Lundi,20,19292
Lundi,21,17036
Lundi,22,12758
Lundi,23,9193
Mardi,0,5669
Mardi,1,2307
Mardi,2,1158
Mardi,3,818
Mardi,4,921
Mardi,5,2688
Mardi,6,6832
Mardi,7,14994
Mardi,8,20561
Mardi,9,21829
Mardi,10,22523
Mardi,11,24051
Mardi,12,24329
Mardi,13,25206
Mardi,14,27863
Mardi,15,28553
Mardi,16,28002
Mardi,17,31394
Mardi,18,31825
Mardi,19,27128
Mardi,20,24072
Mardi,21,24310
Mardi,22,17894
Mardi,23,10623
Mercredi,0,6057
Mercredi,1,2424
Mercredi,2,1475
Mercredi,3,963
Mercredi,4,1071
Mercredi,5,2840
Mercredi,6,7089
Mercredi,7,16169
Mercredi,8,21951
Mercredi,9,23260
Mercredi,10,22871
Mercredi,11,24140
Mercredi,12,25947
Mercredi,13,26670
Mercredi,14,28779
Mercredi,15,29628
Mercredi,16,29542
Mercredi,17,33170
Mercredi,18,34914
Mercredi,19,30126
Mercredi,20,27672
Mercredi,21,26340
Mercredi,22,21650
Mercredi,23,13631
Samedi,0,16336
Samedi,1,12367
Samedi,2,8636
Samedi,3,5338
Samedi,4,2754
Samedi,5,1365
Samedi,6,2459
Samedi,7,4220
Samedi,8,7436
Samedi,9,11737
Samedi,10,15252
Samedi,11,18371
Samedi,12,22168
Samedi,13,22309
Samedi,14,22771
Samedi,15,24313
Samedi,16,25979
Samedi,17,25341
Samedi,18,25755
Samedi,19,23837
Samedi,20,19663
Samedi,21,21264
Samedi,22,22700
Samedi,23,21470
Vendredi,0,8113
Vendredi,1,4415
Vendredi,2,2416
Vendredi,3,1531
Vendredi,4,1167
Vendredi,5,2235
Vendredi,6,5411
Vendredi,7,11477
Vendredi,8,15778
Vendredi,9,16982
Vendredi,10,18380
Vendredi,11,18665
Vendredi,12,19686
Vendredi,13,20774
Vendredi,14,23136
Vendredi,15,23904
Vendredi,16,24054
Vendredi,17,26082
Vendredi,18,26727
Vendredi,19,24719
Vendredi,20,19905
Vendredi,21,20681
Vendredi,22,22570
Vendredi,23,19435
