dropoff_borough,dropoff_zone,nombre_arrivees,tarif_moyen,distance_moyenne_km
Manhattan,Upper East Side North,133516,13.23738952634889,3.2764659806120924
Manhattan,Upper East Side South,122733,12.340980013525284,2.7536549175756027
Manhattan,Midtown Center,104716,14.916858932732314,3.5329119494213446
Manhattan,Times Sq/Theatre District,83962,19.716501988995027,5.371406764124284
Manhattan,Lincoln Square East,83735,13.936370812682878,3.484700144599071
Manhattan,Upper West Side South,82963,14.687857960777688,3.9844576005014587
Manhattan,Murray Hill,80707,14.523556197108082,3.5865743223909154
Manhattan,Midtown East,79668,14.88815572124316,3.674310802608357
Manhattan,Lenox Hill West,78084,13.686671917422292,3.473503914576646
Manhattan,East Chelsea,68647,15.411816831034159,4.05113149344039
Manhattan,Upper West Side North,68413,15.199950886527418,4.225042670881303
Manhattan,Midtown North,68110,15.776697988547957,3.953811673275622
Manhattan,Clinton East,66219,16.61804678415559,4.387129521116338
Manhattan,Union Sq,63652,13.597215641299565,3.3159774115786163
Manhattan,Lenox Hill East,60379,14.78437834346379,3.67225219133146
Manhattan,Yorkville West,60358,14.933744656880652,4.113939966705358
Manhattan,Sutton Place/Turtle Bay North,59846,14.134109547839445,3.5791290262674513
Manhattan,Penn Station/Madison Sq West,59442,14.498123549005756,3.3923897370075347
Manhattan,Midtown South,55369,16.869900485831423,4.473510321439832
Manhattan,Gramercy,53904,14.232915368061732,3.7214294683548834
