pickup_borough,pickup_zone,nombre_departs,tarif_moyen,distance_moyenne_km
Queens,JFK Airport,136687,62.79193661430876,25.499164653220856
Manhattan,Upper East Side South,135390,12.301905458305596,2.7281845726553406
Manhattan,Midtown Center,134877,15.442761108269007,3.7277636985668767
Manhattan,Upper East Side North,128018,12.724623177990589,2.967877501676373
Manhattan,Midtown East,101185,15.017210752581875,3.6166852018263955
Manhattan,Penn Station/Madison Sq West,99385,16.055849574885578,3.6926380382915527
Manhattan,Times Sq/Theatre District,98860,17.819577281003447,4.7564481604572455
Manhattan,Lincoln Square East,97533,13.499048117047566,3.3717221568782283
Queens,LaGuardia Airport,86500,42.330243699421914,15.622371484917965
Manhattan,Upper West Side South,81291,13.34795942970317,3.3385958351429106
Manhattan,Midtown North,80660,15.216042028266807,3.7671770305505046
Manhattan,Murray Hill,77520,14.882204076367394,3.56030393563988
Manhattan,East Chelsea,72215,16.350648480232604,3.94907054069103
Manhattan,Union Sq,70867,13.764650965893868,3.1964142121185057
Manhattan,Clinton East,70743,14.88887692068471,3.8410837083980423
Manhattan,Lenox Hill West,68970,12.764926054806484,3.0242807348905694
Manhattan,West Village,60487,14.439183295584206,3.542600416016699
Manhattan,Lenox Hill East,60296,14.656141203396583,3.6456163145947045
Manhattan,Midtown South,60070,15.131393873813883,3.714040049468984
Manhattan,East Village,58801,14.263262869679103,3.668089036604853
